ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,UNITED STATES,15,"$5,341,671"
"ARMAGEN TECHNOLOGIES, INC.",SANTA MONICA,CA,UNITED STATES,7,"$2,467,858"
"ARRAYOMICS, INC.",SAN DIEGO,CA,UNITED STATES,2,"$508,570"
"ARTANN LABORATORIES, INC.",TRENTON,NJ,UNITED STATES,2,"$1,417,343"
"ARTERIOCYTE, INC.",CLEVELAND,OH,UNITED STATES,1,"$281,794"
"ARTHROCHIP, LLC",FRANKLIN,TN,UNITED STATES,1,"$883,821"
"ARTIFICIAL CELL TECHNOLOGIES, INC.",NEW HAVEN,CT,UNITED STATES,1,"$184,516"
"ARTYX PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,$1
"ARUNA BIOMEDICAL, INC.",ATHENS,GA,UNITED STATES,1,"$189,593"
ASCENSION TECHNOLOGY CORPORATION,MILTON,VT,UNITED STATES,1,"$591,060"
"ASH ACCESS TECHNOLOGY, INC.",LAFAYETTE,IN,UNITED STATES,1,"$899,370"
ASHLAND UNIVERSITY,ASHLAND,OH,UNITED STATES,1,"$143,750"
"ASHWIN-USHAS CORPORATION, INC.",FREEHOLD,NJ,UNITED STATES,1,"$419,084"
"ASI INSTRUMENTS, INC",WARREN,MI,UNITED STATES,0,"$47,159"
"ASKLEPIOS BIOPHARMACEUTICAL, INC.",CHAPEL HILL,NC,UNITED STATES,2,"$603,208"
"ASL ANALYTICAL, INC.",Coralville,IA,UNITED STATES,1,"$475,361"
ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN,LIMA,,PERU,1,"$2,165,121"
ASPERA CORPORATION,AMES,IA,UNITED STATES,1,"$138,750"
ASSESSMENTS ILLUSTRATED,Allison Park,PA,UNITED STATES,1,"$117,715"
ASSN/MEDICAL EDUC & RES IN SUBS ABUSE,PROVIDENCE,RI,UNITED STATES,2,"$70,865"
ASSOCIATION FOR FRONTOTEMPORAL DEMENTIAS,PHILADELPHIA,PA,UNITED STATES,1,"$36,386"
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,UNITED STATES,1,"$94,700"
ASSOCIATION FOR RESEARCH/NERV & MENT DIS,NEW YORK,NY,UNITED STATES,1,"$13,000"
"ASTHMA, INC.",SEATTLE,WA,UNITED STATES,1,"$195,242"
"ATACTIC TECHNOLOGIES, INC.",HOUSTON,TX,UNITED STATES,1,"$538,669"
"ATERIS TECHNOLOGIES, LLC",Bozeman,MT,UNITED STATES,2,"$1,101,791"
"ATHENA GROUP, INC.",GAINESVILLE,FL,UNITED STATES,1,"$100,000"
ATIGEN,BETHLEHEM,PA,UNITED STATES,1,"$139,916"
"ATOM SCIENCES, INC.",OAK RIDGE,TN,UNITED STATES,1,"$73,327"
"ATTAGENE, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,"$2,325,818"
"ATTOGEN, INC",Worcester,MA,UNITED STATES,1,"$185,061"
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,UNITED STATES,8,"$2,087,979"
AUCKLAND UNISERVICES LIMITED,AUCKLAND,,NEW ZEALAND,2,"$213,410"
"AUDIOLOGY, INC",ARDEN HILLS,MN,UNITED STATES,1,"$256,717"
"AUGER COMMUNICATION, INC.",DURHAM,NC,UNITED STATES,1,"$139,542"
AUGUSTANA COLLEGE,ROCK ISLAND,IL,UNITED STATES,1,"$188,423"
"AUREOGEN BIOSCIENCES, INC.",KALAMAZOO,MI,UNITED STATES,3,"$1,269,422"
"AURITEC PHARMACEUTICALS, INC.",PASADENA,CA,UNITED STATES,1,"$369,406"
AUSTRALIAN HEARING SERVICES,CHATSWOOD,,AUSTRALIA,1,"$331,247"
AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,,AUSTRALIA,1,"$239,052"
"AUXAGEN, INC.",SAINT LOUIS,MO,UNITED STATES,1,"$182,189"
"AVANTGEN, INC.",SAN DIEGO,CA,UNITED STATES,1,"$220,061"
"AVANTI POLAR LIPIDS, INC.",ALABASTER,AL,UNITED STATES,1,"$1,412,666"
"AVID RADIOPHARMACEUTICALS, INC.",Philadelphia,PA,UNITED STATES,4,"$1,006,279"
"AVIGENICS, INC.",Waltham,MA,UNITED STATES,1,"$93,012"
"AXIO RESEARCH, LLC",SEATTLE,WA,UNITED STATES,1,"$74,961"
"AXIO RESEARCH, LLC",SEATTLE,WA,UNITED STATES,1,"$416,474"
"AXION BIOSYSTEMS, LLC",DECATUR,GA,UNITED STATES,1,"$235,601"
"AXON MEDICAL, INC.",SALT LAKE CITY,UT,UNITED STATES,1,"$95,768"
"AZEVAN PHARMACEUTICALS, INC.",BETHLEHEM,PA,UNITED STATES,1,"$797,078"
B. L. SEAMON AND ASSOCIATES,LANHAM,MD,UNITED STATES,3,"$4,360,256"
"BAHR MANAGEMENT, INC.",MIDDLETON,WI,UNITED STATES,1,"$749,989"
BAKER HEART RESEARCH INSTITUTE,MELBOURNE,,AUSTRALIA,1,"$259,063"
BALL STATE UNIVERSITY,MUNCIE,IN,UNITED STATES,2,"$482,505"
"BALTIMORE CITY HEALTHY START, INC.",BALTIMORE,MD,UNITED STATES,1,"$470,773"
BANARAS HINDU UNIVERSITY,VARANASI,,INDIA,1,"$734,158"
"BANDEMAR NETWORKS, LLC",NORTHRIDGE,CA,UNITED STATES,1,"$199,907"
BANNER ALZHEIMER'S INSTITUTE,PHOENIX,AZ,UNITED STATES,2,"$1,451,904"
